ID,DATE,ELEMENT,VALUE,MFLAG,QFLAG,SFLAG,OBSTIME,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN_FLAG,HCN_CRN_FLAG,WMO_ID,COLUMN_9,COLUMN_10,COLUMN_11,COLUMN_12
"AE000041196","20190111","TMAX","245","","","S","","AE000041196","253.330","555.170","34.0","SHARJAH","INTER.","AIRP","GSN","41196","","","",""
"AE000041196","20190101","TMAX","269","","","S","","AE000041196","253.330","555.170","34.0","SHARJAH","INTER.","AIRP","GSN","41196","","","",""
"AE000041196","20190102","TMAX","265","","","S","","AE000041196","253.330","555.170","34.0","SHARJAH","INTER.","AIRP","GSN","41196","","","",""
"AE000041196","20190103","TMAX","294","","","S","","AE000041196","253.330","555.170","34.0","SHARJAH","INTER.","AIRP","GSN","41196","","","",""
"AE000041196","20190106","TMAX","272","","","S","","AE000041196","253.330","555.170","34.0","SHARJAH","INTER.","AIRP","GSN","41196","","","",""
"AE000041196","20190107","TMAX","280","","","S","","AE000041196","253.330","555.170","34.0","SHARJAH","INTER.","AIRP","GSN","41196","","","",""
"AE000041196","20190108","TMAX","275","","","S","","AE000041196","253.330","555.170","34.0","SHARJAH","INTER.","AIRP","GSN","41196","","","",""
"AE000041196","20190109","TMAX","292","","","S","","AE000041196","253.330","555.170","34.0","SHARJAH","INTER.","AIRP","GSN","41196","","","",""
"AE000041196","20190110","TMAX","262","","","S","","AE000041196","253.330","555.170","34.0","SHARJAH","INTER.","AIRP","GSN","41196","","","",""
"AEM00041194","20190111","TMAX","240","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041194","20190101","TMAX","280","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041194","20190102","TMAX","274","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041194","20190103","TMAX","294","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041194","20190104","TMAX","279","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041194","20190105","TMAX","262","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041194","20190106","TMAX","269","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041194","20190107","TMAX","287","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041194","20190109","TMAX","295","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041194","20190110","TMAX","260","","","S","","AEM00041194","252.550","553.640","10. Apr","DUBAI","INTL","41194","","","","","",""
"AEM00041217","20190111","TMAX","232","","","S","","AEM00041217","244.330","546.510","26. Aug","ABU","DHABI","INTL","41217","","","","",""
"AEM00041217","20190102","TMAX","286","","","S","","AEM00041217","244.330","546.510","26. Aug","ABU","DHABI","INTL","41217","","","","",""
"AEM00041217","20190104","TMAX","271","","","S","","AEM00041217","244.330","546.510","26. Aug","ABU","DHABI","INTL","41217","","","","",""
"AEM00041217","20190105","TMAX","245","","","S","","AEM00041217","244.330","546.510","26. Aug","ABU","DHABI","INTL","41217","","","","",""
"AEM00041217","20190108","TMAX","290","","","S","","AEM00041217","244.330","546.510","26. Aug","ABU","DHABI","INTL","41217","","","","",""
"AEM00041217","20190110","TMAX","253","","","S","","AEM00041217","244.330","546.510","26. Aug","ABU","DHABI","INTL","41217","","","","",""
"AEM00041218","20190111","TMAX","240","","","S","","AEM00041218","242.620","556.090","264.9","AL","AIN","INTL","41218","","","","",""
"AEM00041218","20190101","TMAX","277","","","S","","AEM00041218","242.620","556.090","264.9","AL","AIN","INTL","41218","","","","",""
"AEM00041218","20190102","TMAX","283","","","S","","AEM00041218","242.620","556.090","264.9","AL","AIN","INTL","41218","","","","",""
"AEM00041218","20190103","TMAX","290","","","S","","AEM00041218","242.620","556.090","264.9","AL","AIN","INTL","41218","","","","",""
"AEM00041218","20190104","TMAX","285","","","S","","AEM00041218","242.620","556.090","264.9","AL","AIN","INTL","41218","","","","",""
"AEM00041218","20190106","TMAX","258","","","S","","AEM00041218","242.620","556.090","264.9","AL","AIN","INTL","41218","","","","",""
"AEM00041218","20190107","TMAX","267","","","S","","AEM00041218","242.620","556.090","264.9","AL","AIN","INTL","41218","","","","",""
"AEM00041218","20190109","TMAX","281","","","S","","AEM00041218","242.620","556.090","264.9","AL","AIN","INTL","41218","","","","",""
"AEM00041218","20190110","TMAX","266","","","S","","AEM00041218","242.620","556.090","264.9","AL","AIN","INTL","41218","","","","",""
"AFM00040938","20190105","TMAX","112","","","S","","AFM00040938","342.100","622.280","977.2","HERAT","40938","","","","","","",""
"AFM00040990","20190111","TMAX","165","","","S","","AFM00040990","315.000","658.500","1010.0","KANDAHAR","AIRPORT","40990","","","","","",""
"AFM00040990","20190102","TMAX","157","","","S","","AFM00040990","315.000","658.500","1010.0","KANDAHAR","AIRPORT","40990","","","","","",""
"AFM00040990","20190103","TMAX","172","","","S","","AFM00040990","315.000","658.500","1010.0","KANDAHAR","AIRPORT","40990","","","","","",""
"AFM00040990","20190105","TMAX","139","","","S","","AFM00040990","315.000","658.500","1010.0","KANDAHAR","AIRPORT","40990","","","","","",""
"AFM00040990","20190106","TMAX","148","","","S","","AFM00040990","315.000","658.500","1010.0","KANDAHAR","AIRPORT","40990","","","","","",""
"AFM00040990","20190107","TMAX","172","","","S","","AFM00040990","315.000","658.500","1010.0","KANDAHAR","AIRPORT","40990","","","","","",""
"AFM00040990","20190108","TMAX","193","","","S","","AFM00040990","315.000","658.500","1010.0","KANDAHAR","AIRPORT","40990","","","","","",""
"AFM00040990","20190109","TMAX","182","","","S","","AFM00040990","315.000","658.500","1010.0","KANDAHAR","AIRPORT","40990","","","","","",""
"AFM00040990","20190110","TMAX","202","","","S","","AFM00040990","315.000","658.500","1010.0","KANDAHAR","AIRPORT","40990","","","","","",""
"AGE00147719","20190111","TMAX","75","","","S","","AGE00147719","337.997","28.900","767.0","LAGHOUAT","60545","","","","","","",""
"AGE00147719","20190101","TMAX","169","","","S","","AGE00147719","337.997","28.900","767.0","LAGHOUAT","60545","","","","","","",""
"AGE00147719","20190103","TMAX","145","","","S","","AGE00147719","337.997","28.900","767.0","LAGHOUAT","60545","","","","","","",""
