ID,DATE,ELEMENT,VALUE,MFLAG,QFLAG,SFLAG,OBSTIME,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN_FLAG,HCN_CRN_FLAG,WMO_ID,COLUMN_9,COLUMN_10,COLUMN_11,COLUMN_12
"USR0000NLIT","20190101","TMIN","-178","H","","U","","USR0000NLIT","392.444","-1.198.808","1923.3","NV","LITTLE","VALLEY","NEVADA","","","","",""
"US1FLSL0019","20190101","PRCP","0","","","N","","US1FLSL0019","273.237","-803.111","04. M�r","FL","PORT","ST.","LUCIE","4.0","NE","","",""
"US1FLSL0019","20190101","SNOW","0","","","N","","US1FLSL0019","273.237","-803.111","04. M�r","FL","PORT","ST.","LUCIE","4.0","NE","","",""
"US1NVNY0012","20190101","PRCP","0","","","N","","US1NVNY0012","362.127","-1.160.355","785.8","NV","PAHRUMP","02. Sep","SSW","","","","",""
"US1NVNY0012","20190101","SNOW","0","","","N","","US1NVNY0012","362.127","-1.160.355","785.8","NV","PAHRUMP","02. Sep","SSW","","","","",""
"US1ILWM0012","20190101","PRCP","163","","","N","","US1ILWM0012","376.283","-890.039","169.5","IL","MARION","8.0","SSW","","","","",""
"USC00141761","20190101","TMAX","-11","","","7","700","USC00141761","395.592","-976.697","451.4","KS","CONCORDIA","1","W","","","","",""
"USC00141761","20190101","TMIN","-139","","","7","700","USC00141761","395.592","-976.697","451.4","KS","CONCORDIA","1","W","","","","",""
"USC00141761","20190101","TOBS","-133","","","7","700","USC00141761","395.592","-976.697","451.4","KS","CONCORDIA","1","W","","","","",""
"USC00141761","20190101","PRCP","0","","","7","700","USC00141761","395.592","-976.697","451.4","KS","CONCORDIA","1","W","","","","",""
"USC00141761","20190101","SNOW","0","","","7","","USC00141761","395.592","-976.697","451.4","KS","CONCORDIA","1","W","","","","",""
"USC00141761","20190101","SNWD","0","","","7","700","USC00141761","395.592","-976.697","451.4","KS","CONCORDIA","1","W","","","","",""
"USC00141761","20190101","WESD","0","","","7","","USC00141761","395.592","-976.697","451.4","KS","CONCORDIA","1","W","","","","",""
"USS0018D08S","20190101","TMAX","-8","","","T","","USS0018D08S","451.900","-1.185.500","1472.2","OR","County","Line","","","","","",""
"USS0018D08S","20190101","TMIN","-112","","","T","","USS0018D08S","451.900","-1.185.500","1472.2","OR","County","Line","","","","","",""
"USS0018D08S","20190101","TOBS","-43","","","T","","USS0018D08S","451.900","-1.185.500","1472.2","OR","County","Line","","","","","",""
"USS0018D08S","20190101","PRCP","0","","","T","","USS0018D08S","451.900","-1.185.500","1472.2","OR","County","Line","","","","","",""
"USS0018D08S","20190101","SNWD","279","","","T","","USS0018D08S","451.900","-1.185.500","1472.2","OR","County","Line","","","","","",""
"USS0018D08S","20190101","TAVG","-56","","","T","","USS0018D08S","451.900","-1.185.500","1472.2","OR","County","Line","","","","","",""
"USS0018D08S","20190101","WESD","584","","","T","","USS0018D08S","451.900","-1.185.500","1472.2","OR","County","Line","","","","","",""
"RQC00660061","20190101","TMAX","261","","","7","800","RQC00660061","181.747","-667.978","557.8","PR","ADJUNTAS","SUBSTN","","","","","",""
"RQC00660061","20190101","TMIN","144","","","7","800","RQC00660061","181.747","-667.978","557.8","PR","ADJUNTAS","SUBSTN","","","","","",""
"USC00217184","20190101","TMAX","-6","","","7","700","USC00217184","438.053","-917.500","234.7","MN","RUSHFORD","","","","","","",""
