,#loc_id,ags,ascii,name,lat,lon,amt,plz,vorwahl,einwohner,flaeche,kz,typ,level,of,invalid
37,466,01001,FLENSBURG,Flensburg,54.780469999999994,9.43522,,,,,56.0,FL,Stadt,5.0,119.0,
38,16534,01001000,FLENSBURG,Flensburg,54.780469999999994,9.43522,,"24937,24939,24941,24943,24944",0461,86006.0,56.0,FL,Stadt,6.0,466.0,
43,474,01004,NEUMUENSTER,Neumünster,54.074040000000004,9.98453,,,,,72.0,NMS,Stadt,5.0,119.0,
44,21517,01004000,NEUMUENSTER,"Neumünster, Holstein",54.07402,9.984511999999999,,"24534,24536,24537,24539",04321,78128.0,72.0,NMS,Stadt,6.0,474.0,
54,15051,01051011,BRUNSBUETTEL,Brunsbüttel,53.897863,9.128617,,25541,04852,13789.0,65.0,HEI,Stadt,6.0,258.0,
81,18047,01051044,HEIDE,Heide / Holstein,54.195730000000005,9.09109,,25746,0481,20716.0,32.0,HEI,Stadt,6.0,258.0,
104,20675,01051072,MARNE,"Marne, Holstein",53.95112749061689,9.00880578749451,,25709,04851,6018.0,5.0,HEI,Stadt,6.0,258.0,
106,20799,01051074,MELDORF,Meldorf (Holstein),54.09195,9.06927,,25704,04832,7655.0,21.0,HEI,Stadt,6.0,258.0,
149,26008,01051127,WESSELBUREN,Wesselburen,54.2119,8.92084,,25764,04833,3112.0,5.0,HEI,Stadt,6.0,258.0,
195,16875,01053032,GEESTHACHT,Geesthacht,53.43018000000001,10.3741,,21502,04152,29403.0,33.0,RZ,Stadt,6.0,463.0,
243,20007,01053083,LAUENBURG,Lauenburg / Elbe,53.37582,10.54703,,21481,04153,11671.0,10.0,RZ,Stadt,6.0,463.0,
250,21009,01053090,MOELLN,"Mölln, Kreis Herzogtum Lauenburg",53.63001,10.692689999999999,,23879,04542,18499.0,25.0,RZ,Stadt,6.0,463.0,
260,22835,01053100,RATZEBURG,Ratzeburg,53.69955,10.7596,,23909,04541,13785.0,30.0,RZ,Stadt,6.0,463.0,
275,24040,01053116,SCHWARZENBEK,Schwarzenbek,53.50176999999999,10.47992,,21493,04151,14864.0,12.0,RZ,Stadt,6.0,463.0,
314,14888,01054019,BREDSTEDT,Bredstedt,54.617217071618605,8.97173076868058,,25821,04671,5089.0,10.0,NF,Stadt,6.0,477.0,
323,16717,01054033,FRIEDRICHSTADT,Friedrichstadt an der Eider,54.3750907340393,9.0913538370846,Amt Friedrichstadt,25840,04881,2468.0,4.0,NF,Stadt,6.0,477.0,
326,16832,01054036,GARDING,Garding,54.3284176784701,8.78681403739442,Amt Eiderstedt,25836,04862,2667.0,3.0,NF,Stadt,6.0,477.0,
341,18761,01054056,HUSUM,"Husum, Nordsee",54.485281036494705,9.05329324448649,,25813,04841,21000.0,18.0,NF,Stadt,6.0,477.0,
365,21601,01054088,NIEBUELL,Niebüll (Schleswig),54.7881584621,8.82960150992,,25899,04661,9183.0,31.0,NF,Stadt,6.0,477.0,
408,25015,01054138,TOENNING,Tönning (Nordseebad),54.3180909829608,8.93713844163407,,25832,04861,5059.0,43.0,NF,Stadt,6.0,477.0,
419,26037,01054168,WESTERLAND,Westerland,54.907748,8.308755,,25980,04651,9078.0,10.0,NF,Stadt,6.0,477.0,
